,swcName,auto,auto+CAR
19,7946_9361_5053,0.2174,0.7333
51,7854_9425_5012,0.2308,0.7
1,7853_9392_5079,0.25,0.8
37,7760_9383_5117,0.3077,0.7143
32,7709_9525_5046,0.3077,1
17,7986_9048_5053,0.3636,0.9
24,7934_9290_5051,0.3913,0.7895
2,8135_9074_4998,0.3913,0.9444
39,7966_9194_5032,0.4074,0.8182
54,7969_9203_5074,0.4286,0.65
0,10081_14161_5324,0.4444,0.5714
6,8175_8807_5128,0.4444,1
45,7950_9260_5040,0.4615,0.65
34,8060_8909_5079,0.4706,0.7857
38,7850_9435_5112,0.4737,0.5
4,7967_9294_5051,0.4783,0.6667
12,10401_14256_5361,0.5,0.75
18,10084_14229_5328,0.5,0.75
35,8106_9027_5057,0.5185,0.92
5,8002_9186_5054,0.52,0.5714
42,7947_9211_5091,0.52,0.619
8,8054_8979_5050,0.5217,0.913
57,8114_9006_5061,0.5238,0.85
56,7879_9222_5123,0.5455,0.5625
58,8086_9224_4975,0.5455,0.7333
48,10289_14101_5332,0.5455,0.75
53,8063_9324_4974,0.55,0.5
14,8090_9139_5000,0.55,0.6429
25,8152_9046_5036,0.55,0.9091
21,8021_9030_5073,0.55,0.9545
11,10075_14172_5315,0.5556,0.4286
41,8138_8934_5032,0.5625,0.6
3,8136_8995_5040,0.5652,0.8095
33,8128_9081_4999,0.5652,0.8421
9,10368_14287_6588,0.5833,0.6923
49,10402_14391_6557,0.5833,0.7
30,10511_14300_6565,0.5833,0.7778
60,8164_9088_5004,0.5882,0.8824
59,8104_8938_5095,0.5909,0.65
10,7955_9010_5144,0.6,0.7
40,8024_9175_5058,0.6071,0.8
62,7904_9134_5072,0.625,0.6
27,8064_9083_5060,0.6296,0.7917
61,7989_9295_5022,0.6316,0.4667
52,10242_14207_5337,0.6364,0.3333
20,7922_9256_5068,0.64,0.5263
47,8048_9073_5043,0.6429,0.7917
28,8113_8949_5055,0.6522,0.7
29,8074_8873_5127,0.6667,0.6154
31,10441_14309_6549,0.6667,0.7857
55,10355_14376_6529,0.7,0.4444
16,7960_9290_5080,0.7083,0.5294
13,8236_8964_5001,0.7273,0.6667
15,10436_14293_6578,0.7273,0.7
43,10150_14127_5336,0.7273,0.75
36,8035_8958_5081,0.7333,0.9091
7,7961_9313_5023,0.75,0.4167
26,10145_14128_5330,0.75,0.7
46,10142_14118_5417,0.8,0.5
22,10363_14345_6553,0.8,0.6
44,10478_14265_6546,0.8182,0.7
50,10219_14112_5383,0.8889,0.375
23,10394_14252_6601,0.9167,0.6364
