,SwcId,CorrectBP,WrongBP,MissingBP
0,10081_14161_5324,{'208'},"{'201', '161', '109', '301', '316', '219'}",{}
1,7853_9392_5079,{'226'},"{'15', '3', '122', '65', '72', '121', '39', '101', '294'}",{}
2,8135_9074_4998,"{'621', '577', '246', '402', '235', '473', '159', '243'}","{'481', '398', '57', '351', '54', '1821', '73', '189', '514', '431'}","{'418', '302', '553', '1819'}"
3,8136_8995_5040,"{'200', '679', '391', '400', '57', '124', '258', '192', '633', '589', '203'}","{'496', '785', '335', '37', '420', '732', '612', '465', '277', '220'}",{}
4,7967_9294_5051,"{'399', '569', '596', '511', '311'}","{'372', '783', '520', '455', '953', '27', '2', '327', '607', '562'}","{'615', '812', '853'}"
5,8002_9186_5054,"{'324', '722', '256', '109', '54', '1083', '717'}","{'695', '210', '1045', '1090', '57', '124', '73', '804', '402', '803', '1103', '750', '739', '741'}",{'1242'}
6,8175_8807_5128,"{'191', '316', '162'}","{'1221', '85'}",{}
7,7961_9313_5023,"{'332', '592', '619'}","{'59', '52', '233', '248', '217', '523', '70', '9', '630'}","{'819', '130', '636', '209', '129', '213'}"
8,8054_8979_5050,"{'267', '513', '216', '208', '361', '219', '559', '727', '620', '81'}","{'390', '742', '161', '37', '111', '429', '57', '561', '157', '492', '891', '89', '469'}",{}
9,10368_14287_6588,"{'77', '88', '186', '204'}","{'346', '396', '130', '361', '54', '190', '213', '228', '81'}","{'356', '114', '116'}"
10,7955_9010_5144,"{'250', '124', '329', '541', '203'}","{'269', '200', '57', '421', '366'}",{'308'}
11,10075_14172_5315,{'307'},"{'363', '293', '109', '289', '294', '421'}",{}
12,10401_14256_5361,{'350'},"{'398', '362', '352'}",{'51'}
13,8236_8964_5001,"{'61', '1159', '1243'}","{'1325', '1291', '120', '148', '1302', '78'}",{'74'}
14,8090_9139_5000,"{'377', '109', '382', '736', '219', '782'}","{'324', '820', '550', '37', '57', '73', '881', '833'}","{'545', '315', '546'}"
15,10436_14293_6578,"{'457', '259', '384', '357'}","{'470', '246', '301', '242', '252', '181'}","{'376', '400', '287', '249', '403'}"
16,7960_9290_5080,"{'466', '695', '605', '70', '510', '366'}","{'250', '798', '783', '882', '102', '1141', '760', '225', '1129', '517', '223'}","{'88', '750', '752'}"
17,7986_9048_5053,"{'894', '788', '717', '218', '365'}","{'841', '132', '935', '871', '714', '57', '248', '529', '54', '504', '734', '73', '619', '509', '902'}",{'603'}
